Date,Price,High,Low,Open
01/03/2000,"1,137.58","1,142.94","1,125.43","1,125.43"
01/04/2000,"1,121.94","1,137.47","1,121.94","1,137.47"
01/05/2000,"1,124.19","1,124.19","1,117.05","1,122.05"
01/06/2000,"1,120.59","1,124.19","1,116.49","1,124.19"
01/07/2000,"1,127.57","1,127.57","1,120.29","1,120.70"
01/10/2000,"1,146.92","1,146.92","1,127.79","1,127.79"
01/11/2000,"1,142.08","1,147.15","1,138.59","1,147.15"
01/12/2000,"1,153.56","1,153.56","1,107.36","1,142.43"
01/13/2000,"1,196.10","1,202.31","1,153.68","1,153.68"
01/14/2000,"1,214.33","1,214.33","1,196.11","1,196.11"
01/17/2000,"1,229.52","1,229.52","1,199.15","1,214.45"
01/18/2000,"1,216.58","1,237.80","1,216.58","1,229.65"
01/19/2000,"1,210.84","1,217.49","1,210.84","1,217.49"
01/20/2000,"1,210.73","1,210.85","1,209.07","1,210.85"
01/21/2000,"1,208.25","1,210.96","1,205.77","1,210.96"
01/24/2000,"1,180.68","1,208.38","1,180.68","1,208.38"
01/25/2000,"1,166.50","1,180.80","1,162.72","1,180.80"
01/26/2000,"1,166.16","1,170.62","1,166.16","1,166.51"
01/27/2000,"1,161.55","1,166.17","1,158.79","1,166.17"
01/28/2000,"1,163.13","1,163.97","1,161.67","1,161.67"
01/31/2000,"1,151.42","1,163.25","1,147.39","1,163.25"
02/01/2000,"1,151.31","1,151.31","1,146.51","1,150.08"
02/02/2000,"1,165.15","1,165.15","1,151.43","1,151.43"
02/03/2000,"1,186.08","1,186.08","1,166.06","1,166.06"
02/04/2000,"1,214.21","1,214.21","1,186.20","1,186.20"
02/07/2000,"1,213.65","1,214.34","1,206.03","1,214.34"
02/08/2000,"1,232.44","1,232.44","1,213.89","1,213.89"
02/09/2000,"1,225.92","1,232.57","1,225.92","1,232.57"
02/10/2000,"1,218.15","1,226.04","1,215.70","1,226.04"
02/11/2000,"1,223.44","1,223.44","1,218.28","1,218.28"
02/14/2000,"1,201.72","1,223.57","1,201.72","1,223.57"
