Date,Price
01/03/2000,"1,455.20"
01/04/2000,"1,399.40"
01/05/2000,"1,402.10"
01/06/2000,"1,403.50"
01/07/2000,"1,441.50"
01/10/2000,"1,457.60"
01/11/2000,"1,438.60"
01/12/2000,"1,432.20"
01/13/2000,"1,449.70"
01/14/2000,"1,465.20"
01/18/2000,"1,455.10"
01/19/2000,"1,455.90"
01/20/2000,"1,445.60"
01/21/2000,"1,441.40"
01/24/2000,"1,401.50"
01/25/2000,"1,410.00"
01/26/2000,"1,404.10"
01/27/2000,"1,398.60"
01/28/2000,"1,360.20"
01/31/2000,"1,394.50"
02/01/2000,"1,409.30"
02/02/2000,"1,409.10"
02/03/2000,"1,425.00"
02/04/2000,"1,424.40"
02/07/2000,"1,424.20"
02/08/2000,"1,441.70"
02/09/2000,"1,411.70"
02/10/2000,"1,416.80"
02/11/2000,"1,387.10"
02/14/2000,"1,389.90"
02/15/2000,"1,402.00"
02/16/2000,"1,387.70"
02/17/2000,"1,388.30"
02/18/2000,"1,346.10"
02/22/2000,"1,352.20"
02/23/2000,"1,360.70"
02/24/2000,"1,353.40"
02/25/2000,"1,333.40"
02/28/2000,"1,348.00"
02/29/2000,"1,366.40"
03/01/2000,"1,379.20"
03/02/2000,"1,381.80"
03/03/2000,"1,409.20"
03/06/2000,"1,391.30"
03/07/2000,"1,355.60"
03/08/2000,"1,366.70"
03/09/2000,"1,401.70"
03/10/2000,"1,395.10"
03/13/2000,"1,383.60"
03/14/2000,"1,359.20"
03/15/2000,"1,392.20"
03/16/2000,"1,458.50"
03/17/2000,"1,464.50"
03/20/2000,"1,456.60"
03/21/2000,"1,493.90"
03/22/2000,"1,500.60"
03/23/2000,"1,527.30"
03/24/2000,"1,527.50"
03/27/2000,"1,523.90"
03/28/2000,"1,507.70"
03/29/2000,"1,508.50"
03/30/2000,"1,487.90"
03/31/2000,"1,498.60"
04/03/2000,"1,506.00"
04/04/2000,"1,494.70"
04/05/2000,"1,487.40"
04/06/2000,"1,501.30"
04/07/2000,"1,516.30"
04/10/2000,"1,504.50"
04/11/2000,"1,500.60"
04/12/2000,"1,467.20"
04/13/2000,"1,440.50"
04/14/2000,"1,356.60"
04/17/2000,"1,401.40"
04/18/2000,"1,441.60"
04/19/2000,"1,427.50"
04/20/2000,"1,434.50"
04/24/2000,"1,429.90"
04/25/2000,"1,477.40"
04/26/2000,"1,461.00"
04/27/2000,"1,464.90"
04/28/2000,"1,452.40"
05/01/2000,"1,468.20"
05/02/2000,"1,446.30"
05/03/2000,"1,415.10"
05/04/2000,"1,409.60"
05/05/2000,"1,432.60"
05/08/2000,"1,424.20"
05/09/2000,"1,412.10"
05/10/2000,"1,383.00"
05/11/2000,"1,407.80"
05/12/2000,"1,421.00"
05/15/2000,"1,452.40"
05/16/2000,"1,466.00"
05/17/2000,"1,447.80"
05/18/2000,"1,437.20"
05/19/2000,"1,407.00"
05/22/2000,"1,400.70"
05/23/2000,"1,373.90"
05/24/2000,"1,399.00"
05/25/2000,"1,381.50"
05/26/2000,"1,378.00"
05/30/2000,"1,422.50"
05/31/2000,"1,420.60"
06/01/2000,"1,448.80"
06/02/2000,"1,477.30"
06/05/2000,"1,467.60"
06/06/2000,"1,457.80"
06/07/2000,"1,471.40"
06/08/2000,"1,461.70"
06/09/2000,"1,457.00"
06/12/2000,"1,446.00"
06/13/2000,"1,469.40"
06/14/2000,"1,470.50"
06/15/2000,"1,478.70"
06/16/2000,"1,464.50"
06/19/2000,"1,486.00"
06/20/2000,"1,476.00"
06/21/2000,"1,479.10"
06/22/2000,"1,452.20"
06/23/2000,"1,441.50"
06/26/2000,"1,455.30"
06/27/2000,"1,450.50"
06/28/2000,"1,454.80"
06/29/2000,"1,442.40"
06/30/2000,"1,454.60"
07/03/2000,"1,469.50"
07/05/2000,"1,446.20"
07/06/2000,"1,456.70"
07/07/2000,"1,478.90"
07/10/2000,"1,475.60"
07/11/2000,"1,480.90"
07/12/2000,"1,492.90"
07/13/2000,"1,495.80"
07/14/2000,"1,510.00"
07/17/2000,"1,510.50"
07/18/2000,"1,493.70"
07/19/2000,"1,482.00"
07/20/2000,"1,495.60"
07/21/2000,"1,480.20"
07/24/2000,"1,464.30"
07/25/2000,"1,474.50"
07/26/2000,"1,452.40"
07/27/2000,"1,449.60"
07/28/2000,"1,419.90"
07/31/2000,"1,430.80"
08/01/2000,"1,438.10"
08/02/2000,"1,438.70"
08/03/2000,"1,452.60"
08/04/2000,"1,462.90"
08/07/2000,"1,479.30"
08/08/2000,"1,482.80"
08/09/2000,"1,472.90"
08/10/2000,"1,460.20"
08/11/2000,"1,471.80"
08/14/2000,"1,491.60"
08/15/2000,"1,484.40"
08/16/2000,"1,479.80"
08/17/2000,"1,496.10"
08/18/2000,"1,491.70"
08/21/2000,"1,499.50"
08/22/2000,"1,498.10"
08/23/2000,"1,506.00"
08/24/2000,"1,508.30"
08/25/2000,"1,506.50"
08/28/2000,"1,514.10"
08/29/2000,"1,509.80"
08/30/2000,"1,502.60"
08/31/2000,"1,517.70"
09/01/2000,"1,520.80"
09/05/2000,"1,507.10"
09/06/2000,"1,492.20"
09/07/2000,"1,502.50"
09/08/2000,"1,494.50"
09/11/2000,"1,489.30"
09/12/2000,"1,482.00"
09/13/2000,"1,484.90"
09/14/2000,"1,480.90"
09/15/2000,"1,465.80"
09/18/2000,"1,444.50"
09/19/2000,"1,459.90"
09/20/2000,"1,451.30"
09/21/2000,"1,449.00"
09/22/2000,"1,448.70"
09/25/2000,"1,439.00"
09/26/2000,"1,427.20"
09/27/2000,"1,426.60"
09/28/2000,"1,458.30"
09/29/2000,"1,436.50"
10/02/2000,"1,436.20"
10/03/2000,"1,426.50"
10/04/2000,"1,434.30"
10/05/2000,"1,436.30"
10/06/2000,"1,409.00"
10/09/2000,"1,402.00"
10/10/2000,"1,387.00"
10/11/2000,"1,364.60"
10/12/2000,"1,329.80"
10/13/2000,"1,374.20"
10/16/2000,"1,374.60"
10/17/2000,"1,350.00"
10/18/2000,"1,342.10"
10/19/2000,"1,388.80"
10/20/2000,"1,396.90"
10/23/2000,"1,395.80"
10/24/2000,"1,398.10"
