Date,Price
01/03/2000,527.7
01/04/2000,528.9
01/05/2000,529.1
01/06/2000,526.2
01/07/2000,522
01/10/2000,519.7
01/11/2000,521.6
01/12/2000,519.7
01/13/2000,516.5
01/14/2000,515.7
01/17/2000,512.1
01/18/2000,515.5
01/19/2000,516.6
01/20/2000,519
01/21/2000,517.8
01/24/2000,515.2
01/25/2000,516.9
01/26/2000,516.5
01/27/2000,517.3
01/28/2000,517.4
01/31/2000,517.8
02/01/2000,518.25
02/02/2000,516.4
02/03/2000,514.8
02/04/2000,515.6
02/07/2000,514.5
02/08/2000,514.7
02/09/2000,514.2
02/10/2000,515.8
02/11/2000,514.9
02/14/2000,514.5
02/15/2000,513.6
02/16/2000,512.7
02/17/2000,511.3
02/18/2000,511.6
02/21/2000,510.8
02/22/2000,508.6
02/23/2000,507.4
02/24/2000,507.2
02/25/2000,506.2
02/28/2000,501.4
02/29/2000,502.35
03/01/2000,503.3
03/02/2000,502.7
03/03/2000,502.85
03/06/2000,503.9
03/07/2000,506.4
03/08/2000,508.2
03/09/2000,506.1
03/10/2000,506.1
03/13/2000,507
03/14/2000,506.1
03/15/2000,506.8
03/16/2000,506.9
03/17/2000,506.1
03/20/2000,506.15
03/21/2000,504.8
03/22/2000,503.8
03/23/2000,502.5
03/24/2000,502.2
03/27/2000,502.4
03/28/2000,501.8
03/29/2000,501
03/30/2000,501.15
03/31/2000,503.1
04/03/2000,503.1
04/04/2000,503.9
04/05/2000,505.6
04/06/2000,505
04/07/2000,505.6
04/10/2000,504.9
04/11/2000,505.3
04/12/2000,505.2
04/13/2000,505.2
04/14/2000,510
04/17/2000,514.5
04/18/2000,508.8
04/19/2000,509
04/20/2000,510.1
04/24/2000,512
04/25/2000,512.8
04/26/2000,514.2
04/27/2000,514.7
04/28/2000,515.1
05/02/2000,513.5
05/03/2000,516.6
05/04/2000,517.5
05/05/2000,519.4
05/08/2000,522.6
05/09/2000,522.4
05/10/2000,526
05/11/2000,522.6
05/12/2000,520.7
05/15/2000,517.7
05/16/2000,517.3
05/17/2000,519.7
05/18/2000,520.8
05/19/2000,523.8
05/22/2000,525.3
05/23/2000,524.7
05/24/2000,526.2
05/25/2000,525.35
05/26/2000,523.8
05/29/2000,525.7
05/30/2000,524.8
05/31/2000,524.1
06/01/2000,522.5
06/02/2000,519.3
06/05/2000,521.3
06/06/2000,523.2
06/07/2000,525.3
06/08/2000,527.1
06/09/2000,528.5
06/12/2000,530.3
06/13/2000,532.2
06/14/2000,530.4
06/15/2000,531.9
06/16/2000,530.7
06/20/2000,531.2
06/21/2000,533.1
06/22/2000,534.4
06/23/2000,536.7
06/26/2000,536.7
06/27/2000,535.9
06/28/2000,536.9
06/29/2000,538.4
06/30/2000,539.6
07/03/2000,535.4
07/04/2000,533.9
07/05/2000,535.4
07/06/2000,536.7
07/07/2000,535.7
07/10/2000,534.3
07/11/2000,536
07/12/2000,537.9
07/13/2000,540.4
07/14/2000,542.9
07/17/2000,541.7
07/18/2000,545.4
07/19/2000,545.8
07/20/2000,545.1
07/21/2000,545.9
07/24/2000,549.4
07/25/2000,550
07/26/2000,556
07/27/2000,553.2
07/28/2000,557.5
07/31/2000,555.4
08/01/2000,553
08/02/2000,549.1
08/03/2000,552.2
08/04/2000,554.9
08/07/2000,555
08/08/2000,552.7
08/09/2000,552.9
08/10/2000,551.2
08/11/2000,547.5
08/14/2000,544.1
08/16/2000,545.8
08/17/2000,546
08/18/2000,549.3
08/21/2000,547.7
08/22/2000,546
08/23/2000,545.8
08/24/2000,546.7
08/25/2000,546.3
08/28/2000,545
08/29/2000,558.3
08/30/2000,561.45
08/31/2000,561.9
09/01/2000,564.1
09/04/2000,564.1
09/05/2000,568.4
09/06/2000,569
09/07/2000,569
09/08/2000,568
09/11/2000,565.9
09/12/2000,565.5
